message_id,date,sender_id,message
1083,2024-06-09 16:36:21+00:00,-1001447066276,
1082,2024-06-09 15:28:37+00:00,-1001447066276,ጥያቄያችሁን አጋሩን
1081,2024-06-09 15:05:18+00:00,-1001447066276,"https://t.me/yetenaweg?livestream

ስለ ኩላሊት ጤና ፣ ህክምና እና ዳያሊሶስ የምናደርገው ዉይይት አሁን ተጀምሯል ። ጠይቁ፣ ተማሩ ፣ ማወቅ ለሚፈልጉ ሊነኩን ማጋራት ትችላላችሁ"
1080,2024-06-09 15:01:25+00:00,-1001447066276,
1079,2024-06-06 07:51:31+00:00,-1001447066276,
1078,2024-06-06 07:51:30+00:00,-1001447066276,"📣በዚህ እሁድ በቴሌግራም ቀጥታ ስርጭት የኩላሊት በሽታ ክትትል እና የዳያሊሲስ ህክምና በሚል ርዕስ በምናደርገው ውይይት ይቀላቀሉን።

💧የአንድ ሰው ኩላሊት ከደም ውስጥ ቆሻሻን እና  የተለያዩ ፈሳሾችን በበቂ ሁኔታ ማጣራት ሲያቅተው ዳያሊሲስ ያስፈልጋል። ይህም እንደ የስኳር በሽታ፣ የደም ግፊት እና የተለያዩ የኩላሊት በሽታዎች ባሉ ሁኔታዎች ሊከሰት ይችላል።

🗣እንግዶቻችን:
👉ዶ/ር ሃመልማል ሀ/ጊዮርጊስ  (የኩላሊት ህክምና ስፔሻሊስት፣ በቅዱስ ጳውሎስ ሚሊኒየም ሜዲካል ኮሌጅ የውስጥ ደዌ ህክምና ረዳት ፕሮፌሰር) 

👉ዶ/ር ፍፁም ጥላሁን (በቶማስ ጄፈርሰን ዩኒቨርሲቲ ሆስፒታል የኩላሊት ህክምና ስፔሻሊስት)

🗓እሁድ ሰኔ 2 2016

⏰ከምሽቱ 12 ሰዓት (በኢትዮጵያ)

💥ውይይቱን ለመቀላቀል እዚህ ይጫኑ 
👇👇👇👇👇👇👇👇
https://t.me/yetenaweg?livestream

👉የውይይት ቻናላችንን ለመቀላቀል እዚህ ይጫኑ: https://t.me/+dl4juoncBxMyODVh"
1077,2024-06-05 20:27:37+00:00,-1001447066276,https://www.clubhouse.com/room/xlOVk34E?utm_medium=ch_room_xr&utm_campaign=hRlA5hD3l5eqiHBShxl5xA-1276560
1076,2024-06-04 15:06:35+00:00,-1001447066276,
1075,2024-05-31 17:24:31+00:00,-1001447066276,
1074,2024-05-31 17:24:30+00:00,-1001447066276,
1073,2024-05-31 17:24:30+00:00,-1001447066276,
1072,2024-05-31 17:24:29+00:00,-1001447066276,
1071,2024-05-31 17:24:29+00:00,-1001447066276,"የዘንድሮ የዓለም አቀፍ ከትምባሆ ነጻ ቀን በአለም አቀፍ ደረጃ  ‹‹ህፃናትና ወጣቶችን ከትምባሆ ኢንዱስትሪ ተፅህኖ በመከላከል ከትምባሆ ነፃ ትውልድ እንፍጠር!›› በሚል መሪ ቃል እየተከበረ ይገኛል፡፡

የጤና ወግ የትምባሆ ማጨስ በጤና ላይ የሚያስከትለውን ጉዳት እየተማማርን ቀኑን እንድናስብ ይጋብዛል።

ትምባሆ ማጨስን በማቆም ጤንነታችንን መጠበቅ እና ማደስ ይቻላል።"
1070,2024-05-29 05:23:45+00:00,-1001447066276,"📣 ስትሮክ በሽታና ምልክቶቹ

💥ስትሮክ ማለት በድንገት የሚከሰት የአንጎል ጥቃት ሲሆን: የጭንቅላት የደም ዝውውርን በማቆም ከፍተኛ የአንጎልና የሰውነት ጉዳት ያደርሳል

    የስትሮክ በሽታ ምልክቶች ምን እንደሆኑ ያውቃሉ?

ድንገተኛ የመደንዘዝ ስሜት ወይም ድክመት፡ በተለይ በአንድ የሰውነት ክፍል ፊትን፣ ክንድ ወይም እግርን ይጎዳል።

የመናገር ችግር፡ ድንገተኛ ንግግርን የመረዳት ችግር ወይም ቃላትን መፍጠር።

የመራመድ ችግር፡ ድንገተኛ መፍዘዝ፣ ሚዛን ማጣት ወይም ቅንጅት ማጣት።

የማየት ችግር፡ በአንድ ወይም በሁለቱም አይኖች ላይ ድንገተኛ ችግር።

ከባድ ራስ ምታት ና ሌሎችም ምልክቶች።

👉የግንቦት ወር  በየአመቱ የአለም የስትሮክ ወር
በመባል ይከበራል።  

💥 ስለ ስትሮክ በሽታ  ዝርዝር መረጃዎች ለማግኘት እዚህ ይጫኑ http://yetenaweg.com

💥የቴሌግራም ቻናላችንን ለመቀላቀል እዚህ ይጫኑ"
1069,2024-05-28 11:40:34+00:00,-1001447066276,
1068,2024-05-28 11:40:34+00:00,-1001447066276,
1067,2024-05-28 11:40:33+00:00,-1001447066276,
1066,2024-05-28 11:40:33+00:00,-1001447066276,"የወር አበባ ንፅህና አጠባበቅ

✍✍በየአመቱ በፈረንጆች ግንቦት 28  የወር አበባ ንፅህና ቀን በመባል ይከበራል። ቀኑ ሴቶች እና ልጃገረዶች በወር አበባቸው ወቅት የሚያጋጥሟቸውን ተግዳሮቶች ለማስታወስና ለመቅረፍ  ያገለግላል። 

👉በተለይ ዝቅተኛ ገቢ ባለባቸው ሀገራት የንፁህ ውሃ፣ የንፅህና አጠባበቅ እና የንፅህና መጠበቂያ ምርቶች ተደራሽነት ውስንነት  ለመግታት ጥረት ይደረጋል።

💥 ስለ የወር አበባ ንፅህና አጠባበቅ ዝርዝር መረጃዎች ለማግኘት እዚህ ይጫኑ 

https://shorturl.at/SVcbO

🔸ለበለጠ መረጃ:  https://yetenaweg.com/"
1065,2024-05-26 16:11:43+00:00,-1001447066276,
1064,2024-05-26 15:03:01+00:00,-1001447066276,ተጀምሯል !!
1063,2024-05-26 14:55:42+00:00,-1001447066276,
1062,2024-05-23 05:12:25+00:00,-1001447066276,
1061,2024-05-23 05:12:24+00:00,-1001447066276,"የጤና ወግ  🔴የራስ ምታት🔴 በሚል ርዕስ በቴሌግራም ቀጥታ ስርጭት ውይይት ይዞላችሁ መጥቷል።

⚡️ለራስ ምታት መከሰት ወይም መባባስ አስተዋጽኦ ከሚያደርጉ ነገሮች መካከል: ጭንቀት፣ የሆርሞን ለውጦች፣ አንድ አንድ የምግብ አይነቶች፣ የእንቅልፍ መዛባት እና አካላዊ ምክንያቶች እንደ ደካማ አቀማመጥ የተወሰኑት ናቸው።

🗣እንግዳችን:
     ዶ/ር ፍቅሩ ፀሀይነህ (የአ.አ የነርቭ ህክምና ረዳት ፕሮፌሰር ፣ የቀድሞ የነርቭ ህክምና ክፍል ሃላፊ) 

🗓እሁድ ግንቦት 18 2016

⏰ከምሽቱ 12 ሰዓት (በኢትዮጵያ)

💥ውይይቱን ለመቀላቀል እዚህ ይጫኑ 
👇👇👇👇👇👇👇👇
https://t.me/yetenaweg?livestream

👉የውይይት ቻናላችንን ለመቀላቀል እዚህ ይጫኑ: https://t.me/+dl4juoncBxMyODVh"
1060,2024-05-22 15:07:30+00:00,-1001447066276,
1059,2024-05-19 16:25:38+00:00,-1001447066276,
1058,2024-05-19 14:59:23+00:00,-1001447066276,ተጀምሯል !!
1057,2024-05-19 14:58:05+00:00,-1001447066276,
1056,2024-05-18 07:43:59+00:00,-1001447066276,
1055,2024-05-18 07:43:58+00:00,-1001447066276,"Weekend with Yetena Weg! 🌟

Join us for two informative sessions

CME - ""PSYCHIATRIC EMERGENCIES"" 

🕔 Time: 6:00 PM EAT
📆 Date: Saturday May 18

🔗 https://us02web.zoom.us/webinar/register/WN_G3Ig_sFpRZCaVXcrpXjdkg#/registration

 

Telegram Live  - "" ትኩሳት ያለው ልጅ”
🗓እሁድ ግንቦት 11 2016

⏰ከምሽቱ 12 ሰዓት (በኢትዮጵያ)

💥ውይይቱን ለመቀላቀል እዚህ ይጫኑ 
👇👇👇👇👇👇👇👇

https://t.me/yetenaweg?livestream

Let's come together and learn. 

Don't miss out on the opportunity to gain valuable insights and advice —mark your calendars and invite your community!"
1054,2024-05-17 13:58:27+00:00,-1001447066276,
1053,2024-05-17 13:58:26+00:00,-1001447066276,
1052,2024-05-17 13:58:26+00:00,-1001447066276,
1051,2024-05-17 13:58:25+00:00,-1001447066276,
1050,2024-05-17 13:58:25+00:00,-1001447066276,
1049,2024-05-17 13:58:24+00:00,-1001447066276,"የደም ግፊት መጨመር እና የጤና መዘዞቹ!

✍✍ የደም ግፊት መጨመር በደም ወሳጅ ቧንቧዎች ውስጥ ያለውን የደም ግፊት በቋሚነት ከፍ ያለ እንዲሆን እና  በልብ ላይ ተጨማሪ ጫና በመፍጠር ለልብ ህመም እና ለስትሮክ የመጋለጥ እድልን ይጨምራል።


👉 የአለም የደም ግፊት ቀን በየአመቱ በፈረንጆች አቆጣጠር ግንቦት 17 ይከበራል።  

👉የዘንድሮው  ""የደም ግፊትዎን በትክክል ይለኩ፣ ይቆጣጠሩ ፣ረጅም እድሜ ይኑሩ።""  በሚል መሪ ቃል ታስቦ ይውላል።

💥 ስለ ደም ግፊት  ዝርዝር መረጃዎች ለማግኘት እዚህ ይጫኑ http://yetenaweg.com"
1042,2024-05-16 04:40:50+00:00,-1001447066276,
1041,2024-05-16 04:40:50+00:00,-1001447066276,
1040,2024-05-16 04:40:49+00:00,-1001447066276,
1039,2024-05-16 04:40:48+00:00,-1001447066276,የጤና ወግ የዓለም አቀፍ የተደራሽነት ቀንን ስለ ቴክኖሎጂና ዲጂታል ተደራሽነት እያሰብን አብረን እንድናከብር ይጋብዝዎታል።
1038,2024-05-14 11:05:55+00:00,-1001447066276,
1037,2024-05-14 11:05:55+00:00,-1001447066276,"🔥በዚህ እሁድ በቴሌግራም ቀጥታ ስርጭት ትኩሳት ያለው ልጅ በሚል ርዕስ በምናደርገው ውይይት ይቀላቀሉን።

♨️ትኩሳት ከመደበኛው ክልል በላይ የሰውነት ሙቀት መጨመር ሲሆን ኢንፌክሽኖችን ለመዋጋት እና የሰውነትን በሽታ የመከላከል ስርዓትን ለማነቃቃት የሰውነት ተፈጥሯዊ ምላሽ ነው።

🗣እንግዳችን:
👉ዶ/ር ጡረኝ አሰፋ (የህፃናት ስፔሻሊስት ሃኪም እና የህፃናት ኢንፌክሸስ በሽታዎች ፌሎ) 

🗓እሁድ ግንቦት 11 2016

⏰ከምሽቱ 12 ሰዓት (በኢትዮጵያ)

💥ውይይቱን ለመቀላቀል እዚህ ይጫኑ 
👇👇👇👇👇👇👇👇
https://t.me/yetenaweg?livestream

👉የውይይት ቻናላችንን ለመቀላቀል እዚህ ይጫኑ: https://t.me/+dl4juoncBxMyODVh"
1036,2024-05-13 21:57:37+00:00,-1001447066276,
1035,2024-05-13 21:56:24+00:00,-1001447066276,
